Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-19 23:04:22,472.80840492248535,10,8,116.539999999999,69.70720350672491,1575,0,99,99,22,31,0,0,69,66,2,92,9,6,73,12,9,0,317,285,262,325,11,1567,1,32,215,99,331,274,337,306,215,113
2024-09-19 23:04:22,483.82586002349854,10,3,122.03999999999651,136.71784545271657,3303,0,109,109,26,33,0,0,58,55,2,110,2,6,147,2,2,0,619,687,679,623,2,3309,8,54,447,109,679,708,638,711,447,128
2024-09-19 23:04:22,489.65340089797974,10,0,65.69999999999928,70.85122748150025,1805,1,94,94,27,31,0,0,61,58,2,88,10,5,93,9,10,0,321,430,428,291,6,1795,0,35,148,94,305,447,333,448,148,124
2024-09-19 23:04:22,498.293133020401,10,9,148.3400000000024,102.95904141443316,2590,0,112,111,32,35,0,0,64,63,2,108,6,2,161,10,6,0,439,600,612,374,9,2588,4,46,296,112,394,660,480,627,296,137
2024-09-19 23:04:22,508.53839206695557,10,0,231.7600000000058,115.35301918105688,2921,1,117,117,23,36,0,0,82,80,3,113,4,9,152,14,4,0,478,651,661,480,13,2923,6,39,388,117,503,674,523,690,388,149
2024-09-19 23:04:22,515.8060729503632,10,0,150.140000000003,85.8673598174937,2145,0,77,77,21,29,0,0,60,59,2,72,7,3,62,11,7,0,384,490,478,378,11,2141,3,19,279,77,390,485,392,508,279,94
2024-09-19 23:04:22,526.6312727928162,10,0,185.42000000000263,115.09724659833591,3027,1,107,107,30,35,0,0,70,68,1,104,6,6,140,13,6,0,561,597,594,564,11,3025,4,35,468,107,599,634,577,629,468,124
2024-09-19 23:04:22,532.5408608913422,10,19,93.39999999999952,72.66280870931223,1774,0,83,82,21,24,0,0,50,49,0,77,6,0,129,7,6,0,377,290,286,408,7,1772,4,32,205,83,446,303,408,316,205,100
2024-09-19 23:04:22,541.6748530864716,10,9,199.88000000000278,105.11704112251755,2710,1,152,152,31,30,0,0,63,62,2,149,4,10,182,16,4,0,480,479,488,476,14,2712,6,86,459,152,539,518,521,512,459,167
2024-09-19 23:04:22,550.0031809806824,10,13,112.47999999999797,100.94927145913243,2482,0,131,131,26,31,0,0,60,58,2,127,6,5,131,10,6,0,418,505,489,426,9,2480,4,70,386,131,460,505,434,525,386,176
2024-09-19 23:04:22,555.2603058815002,10,2,19.479999999999855,60.851511027198285,1504,0,71,71,19,24,0,0,51,51,2,66,8,4,159,3,8,0,340,239,235,317,3,1498,2,21,145,71,327,348,346,249,145,91
2024-09-19 23:04:22,563.3035147190094,10,9,171.7600000000023,96.62947121309116,2379,0,96,96,30,33,0,0,64,61,1,91,6,10,97,11,6,0,462,495,510,472,11,2377,4,34,251,96,486,517,511,508,251,110
2024-09-19 23:04:22,573.3872780799866,10,14,190.99999999999918,120.1789240357466,2923,1,125,123,32,35,0,0,83,81,1,120,5,7,209,12,5,0,495,546,583,516,12,2923,5,43,454,125,544,600,506,672,454,152
2024-09-19 23:04:22,582.9165668487549,10,13,156.80000000000103,107.61927081865724,2660,1,115,115,34,36,0,0,62,61,3,109,6,15,103,10,6,0,528,514,494,525,9,2658,4,50,385,115,551,511,543,531,385,143
2024-09-19 23:04:22,591.8264219760895,10,9,180.52000000000044,98.70665511360858,2564,0,121,118,30,34,0,0,67,65,3,114,4,12,93,9,4,0,548,446,476,519,9,2566,6,53,367,121,547,483,583,455,367,135
2024-09-19 23:04:22,599.95623087883,10,3,109.65999999999941,100.17452129896265,2527,2,87,85,29,30,0,0,51,52,4,77,8,24,74,9,8,0,382,675,698,404,7,2521,2,32,209,87,423,721,386,687,209,103
2024-09-19 23:04:22,606.0457279682159,10,9,158.88000000000036,79.20695475977845,1949,0,104,104,30,33,0,0,69,66,3,99,9,16,88,15,9,0,290,449,516,336,14,1941,1,37,167,104,373,519,303,461,167,127
2024-09-19 23:04:22,613.5880799293518,10,2,87.96000000000018,90.17351352400146,2291,2,108,106,22,28,0,0,57,55,0,102,7,32,94,9,7,0,421,513,484,423,8,2287,3,53,251,108,446,501,446,531,251,119
2024-09-19 23:04:22,621.7171120643616,10,3,273.7800000000033,103.9415178638883,2509,1,147,146,37,40,0,0,80,77,6,141,6,24,91,20,6,0,468,477,510,495,20,2507,4,63,325,147,518,516,496,487,325,171
2024-09-19 23:04:22,628.3689877986908,10,4,154.05999999999818,94.64943984686397,2172,3,144,145,37,40,0,0,88,86,1,139,8,24,78,11,8,0,450,386,342,470,10,2166,2,53,304,144,487,362,468,397,304,156
2024-09-19 23:04:22,635.1383738517761,10,3,159.49999999999883,93.96339504583739,2013,5,107,107,31,37,0,0,76,73,0,98,9,24,114,15,9,0,360,381,389,440,14,2005,1,35,223,107,466,401,381,414,223,129
2024-09-19 23:04:22,641.5810389518738,10,3,162.34000000000094,97.0703576495871,2036,0,111,110,28,32,0,0,68,66,1,107,7,7,83,13,7,0,407,360,351,423,11,2032,3,47,304,111,441,370,419,378,304,127
2024-09-19 23:22:22,1.9917519092559814,10,0,-19.520000000000213,41.70403087604791,776,2,33,33,11,17,0,0,32,29,0,30,9,8,94,3,9,0,143,100,86,162,3,768,1,8,159,33,172,134,145,125,159,42
2024-09-19 23:22:22,4.311586856842041,10,3,-27.63999999999995,57.90519112814218,982,4,44,44,9,20,0,0,38,34,0,36,9,13,181,4,9,0,145,151,164,143,3,974,1,12,155,44,222,197,187,163,155,59
2024-09-19 23:22:22,6.238152027130127,10,1,-92.34000000000057,49.409379521384835,823,2,42,42,5,12,0,0,28,26,0,35,10,11,137,1,10,0,162,123,133,165,1,813,0,17,61,42,187,178,169,158,61,70
2024-09-19 23:22:22,7.949265956878662,10,20,-35.14000000000041,42.16424683434889,712,4,35,35,10,17,0,0,28,27,2,25,10,11,54,3,10,0,125,84,84,164,3,702,0,9,166,35,176,98,132,91,166,49
